"","zipcode","total_support"
"1110","03897",0
"1111","03901",46072.82
"1112","03902",6810.03
"1113","03903",22333.15
"1114","03904",38919.44
"1115","03905",1901.75
"1116","03906",42942.44
"1117","03907",3424.97
"1118","03908",30345.12
"1119","03909",40479.18
"1120","03910",510
"1121","04001",13049.97
"1122","04002",84827.86
"1123","04003",546.33
"1124","04005",586726.52
"1125","04006",630
"1126","04008",15155.71
"1127","04009",122367.13
"1128","04010",5367.3
"1129","04011",136658.57
"1130","04015",61702.64
"1131","04017",700
"1132","04019",410
"1133","04020",33527.85
"1134","04021",19163.46
"1135","04022",9569.86
"1136","04024",6219.79
"1137","04027",39090.08
"1138","04029",24450.29
"1139","04030",19387.98
"1140","04032",37337.55
"1141","04037",60735.99
"1142","04038",129174.79
"1143","04039",75456.06
"1144","04040",40725.01
"1145","04041",23705.63
"1146","04042",50657.1
"1147","04043",79740.95
"1148","04046",53967.27
"1149","04047",27275.46
"1150","04048",45051.19
"1151","04049",43485.18
"1152","04050",570
"1153","04051",8243.54
"1154","04055",58150.32
"1155","04056",240
"1156","04061",25808.22
"1157","04062",169198.9
"1158","04063",12499.97
"1159","04064",180223.39
"1160","04066",1863.35
"1161","04068",21382.89
"1162","04069",9828.84
"1163","04071",34511.06
"1164","04072",247032.91
"1165","04073",219920.77
"1166","04074",111748.03
"1167","04076",13215.07
"1168","04079",12013.26
"1169","04083",44622.29
"1170","04084",84815.13
"1171","04085",19220.63
"1172","04086",47288.53
"1173","04087",17753.45
"1174","04088",31538.46
"1175","04090",94154.62
"1176","04091",18470.36
"1177","04092",457228.09
"1178","04093",71718.83
"1179","04094",100
"1180","04095",10163.02
"1181","04096",41070.85
"1182","04097",10932.01
"1183","04101",704474.67
"1184","04102",394267.68
"1185","04103",447141.53
"1186","04105",38447.32
"1187","04106",354051.96
"1188","04107",27150.42
"1189","04108",5929.99
"1190","04110",4009.92
"1191","04210",742583.9
"1192","04211",90
"1193","04212",1030
"1194","04216",6792.3
"1195","04217",37367.24
"1196","04219",21305.99
"1197","04220",37073.69
"1198","04221",18978.5
"1199","04222",13291.19
"1200","04223",829.89
"1201","04224",67403.22
"1202","04226",1080
"1203","04227",30
"1204","04230",330
"1205","04231",1351
"1206","04234",17.95
"1207","04236",64882.47
"1208","04237",1259.98
"1209","04238",6433.89
"1210","04239",131603.17
"1211","04240",1551461.48
"1212","04241",450
"1213","04243",550
"1214","04250",103762.84
"1215","04252",74868.35
"1216","04253",30144.61
"1217","04254",152431.63
"1218","04255",6812.43
"1219","04256",70339
"1220","04257",131766.87
"1221","04258",26786.81
"1222","04259",34871.55
"1223","04260",44428.82
"1224","04261",1629.96
"1225","04263",30483.37
"1226","04265",10045.17
"1227","04266",210
"1228","04267",30
"1229","04268",164271.16
"1230","04270",115104.37
"1231","04271",445
"1232","04274",72324.68
"1233","04275",9693.75
"1234","04276",281007.67
"1235","04280",119659.67
"1236","04281",169846.03
"1237","04282",67445.76
"1238","04284",8264.87
"1239","04285",1264.99
"1240","04287",19267.55
"1241","04289",31647.02
"1242","04290",25531.28
"1243","04291",420
"1244","04292",7721.12
"1245","04294",41136.62
"1246","04330",789067.29
"1247","04333",1869.99
"1248","04342",20190.18
"1249","04343",90
"1250","04344",67532.47
"1251","04345",239985.1
"1252","04346",55271.72
"1253","04347",49538.18
"1254","04348",23469.9
"1255","04349",4469.3
"1256","04350",49395.21
"1257","04351",19289.81
"1258","04352",16260.45
"1259","04353",39285.22
"1260","04354",10356.85
"1261","04355",19469.24
"1262","04357",72050.52
"1263","04358",42075.24
"1264","04359",3009.85
"1265","04360",3528
"1266","04363",37775.71
"1267","04364",95559.62
"1268","04401",1302092.39
"1269","04406",5363.35
"1270","04408",960
"1271","04410",12296.65
"1272","04411",18573.84
"1273","04412",229039.91
"1274","04413",1086.87
