"","zipcode","zcta","state","totalHH","enrollments","eligible_adj","eligible_adj_perc","HHEoE_adj","total_support"
"128","00987","00987","PR",20202,6271,11355,56.2073062073062,55.2267723469837,3001594.59
"129","01001","01001","MA",6791,679,2801.2768662817,41.2498434145443,24.238946466626,217511.27
"130","01002","01002","MA",9985,686,6273.20239725492,62.8262633676006,10.9354035874912,232762.66
"131","01003","01003","MA",15,2,0,0,101,746
"132","01005","01005","MA",1761,200,359.814311674381,20.4323856714583,55.5842259495761,65303.73
"133","01007","01007","MA",5917,512,2043.97135165814,34.5440485323329,25.0492747652578,184998.51
"134","01008","01008","MA",506,28,131.869119461815,26.0610908027303,21.233174312738,11368.79
"135","01009","01009","MA",333,45,171.42985530036,51.4804370271351,26.2498034086047,15080.75
"136","01010","01010","MA",1503,163,691.37095489266,45.9993981964511,23.5763447750429,55856.71
"137","01011","01011","MA",498,46,227.945192212566,45.7721269503145,20.1802896360734,15748.44
"138","01012","01012","MA",227,27,97.9599173144913,43.1541485966922,27.562293579035,11910
"139","01013","01013","MA",9375,3606,6542.59216986977,69.7876498119443,55.1157691993474,1439203.49
"140","01020","01020","MA",13400,3107,7414.8122028815,55.3344194244888,41.9026121631587,1141047.49
"141","01022","01022","MA",1082,176,378.652757311784,34.9956337626417,46.4805805850982,51447.11
"142","01026","01026","MA",454,36,201.571368320203,44.3989798062122,17.8596793284713,14209.98
"143","01027","01027","MA",8451,1181,3453.08708533582,40.860100406293,34.2012805010142,413472.78
"144","01028","01028","MA",6017,494,1851.81920615663,30.7764534844047,26.6764702708357,159567.18
"145","01029","01029","MA",228,11,84.7730053683098,37.181142705399,12.9758287466733,4990
"146","01030","01030","MA",4994,446,1531.5656303208,30.6681143436283,29.1205281164858,153571.26
"147","01031","01031","MA",608,61,467.193451807574,76.8410282578246,13.0566898495667,21015.71
"148","01032","01032","MA",198,20,97.9599173144913,49.4747057143895,20.4165137622481,8340
"149","01033","01033","MA",2530,141,917.432302541486,36.2621463455133,15.368981407064,48184.83
"150","01034","01034","MA",830,24,254.319016104929,30.6408453138469,9.43696636121691,7526.8
"151","01035","01035","MA",2254,223,542.547234357183,24.0704185606558,41.1024120810815,71154.58
"152","01036","01036","MA",2016,141,599.062571269389,29.7154053209022,23.5367734127049,49914.92
"153","01037","01037","MA",257,8,86.65684993205,33.7186186506031,9.23181491858176,3729.94
"154","01038","01038","MA",1111,50,365.465845365602,32.8952156044646,13.6811690159395,13345.94
"155","01039","01039","MA",709,41,184.616767246541,26.0390362830101,22.2081670107719,9929.81
"156","01040","01040","MA",15062,4548,11579.9925333111,76.8821705836616,39.2746367229269,1801412.72
"157","01050","01050","MA",1072,77,373.001223620563,34.7948902631122,20.643363915162,24426.13
"158","01053","01053","MA",712,71,491.683431136197,69.0566616764321,14.4401855958276,24335.46
"159","01054","01054","MA",708,13,241.132104158748,34.058206802083,5.39123566534365,4150.34
"160","01056","01056","MA",8567,1141,3564.23391459649,41.6042245196275,32.0124892849288,392788.76
"161","01057","01057","MA",3485,220,1275.36276965213,36.59577531283,17.2499939025198,67727.14
"162","01060","01060","MA",7060,775,3609.44618412626,51.1253000584456,21.4714380119676,250851.78
"163","01062","01062","MA",4162,406,2192.79507219361,52.6860901536188,18.5151820682381,127858.59
"164","01068","01068","MA",625,47,167.662166172879,26.8259465876607,28.0325615926598,17516.35
"165","01069","01069","MA",3732,418,1497.65642817347,40.1301293722795,27.9102731532217,137388.01
"166","01070","01070","MA",258,21,109.262984696933,42.3499940685785,19.2196836451508,10130.74
"167","01071","01071","MA",518,56,81.0053162408293,15.638091938384,69.1312652042634,17819.36
"168","01072","01072","MA",609,40,184.616767246541,30.3147401061644,21.6665044007531,14340.04
"169","01073","01073","MA",2318,173,949.45766012507,40.9602096688986,18.2209283536889,56913.29
"170","01074","01074","MA",157,42,77.2376271133489,49.195940836528,54.3776415326218,14825.2
"171","01075","01075","MA",7328,495,2609.1247207802,35.604867914577,18.9718795754609,165518.97
"172","01077","01077","MA",3648,242,1166.09978495519,31.9654546314472,20.7529409680235,76567.54
"173","01079","01079","MA",237,33,150.707565099217,63.5896899152816,21.8967110100111,11110.82
"174","01080","01080","MA",895,135,278.808995433552,31.1518430652014,48.4202454766831,46979.27
"175","01081","01081","MA",708,95,224.177503085086,31.6634891363116,42.3771336073554,34416.6
"176","01082","01082","MA",4689,626,2705.20079353095,57.6924886656206,23.1406112809436,216875.76
"177","01083","01083","MA",934,140,521.82494415604,55.8699083678844,26.8289206117629,41647.63
"178","01084","01084","MA",44,4,18.8384456374022,42.814649175914,21.233174312738,2560
"179","01085","01085","MA",15608,1833,6378.69769282438,40.8681297592541,28.7362732687898,662792.96
"180","01088","01088","MA",345,15,135.636808589296,39.3150169824045,11.0589449545511,5469.45
"181","01089","01089","MA",12734,1862,6685.76435671403,52.5032539399563,27.850218773118,603326.79
"182","01092","01092","MA",532,68,141.288342280516,26.557959075285,48.1285284422062,20071.69
"183","01093","01093","MA",70,9,15.0707565099217,21.5296521570311,59.7183027545758,2576
"184","01094","01094","MA",31,7,30.1415130198435,97.2306871607854,23.2237844045572,1899.99
"185","01095","01095","MA",5417,431,1929.05683326998,35.611165465571,22.3425247284915,145424.83
"186","01096","01096","MA",1058,51,284.460529124773,26.8866284616988,17.9286736746629,18491.22
"187","01097","01097","MA",26,5,0,0,101,1500
"188","01098","01098","MA",510,17,124.333741206854,24.3791649425205,13.672877398354,5082.13
"189","01103","01103","MA",1434,496,1508.95949555591,101,32.8703322694072,191066.81
"190","01104","01104","MA",9208,3391,7972.4301937486,86.5815616175999,42.5340820501505,1296479.47
"191","01105","01105","MA",5206,2876,6627.36517523808,101,43.3958281150047,1158594.78
"192","01106","01106","MA",6015,221,1785.88464642573,29.690517812564,12.3748194174976,66331.54
"193","01107","01107","MA",4234,1815,4654.97991700208,101,38.9905011914403,738842.72
"194","01108","01108","MA",10213,3486,8528.16434005196,83.5030288852635,40.876322981116,1342200.62
"195","01109","01109","MA",9506,4110,9293.00523293049,97.7593649582421,44.2268125001791,1549899.42
"196","01118","01118","MA",5785,970,2676.94312507485,46.2738656019853,36.2353608081561,355676.74
"197","01119","01119","MA",5230,1136,3671.61305472968,70.202926476667,30.9400795526814,417749.77
"198","01128","01128","MA",1136,109,510.521876773599,44.940306054014,21.350701107827,35275.34
"199","01129","01129","MA",2523,443,1090.74600240559,43.2321047326827,40.6144050973357,159116.58
